"question1","question2","is_duplicate"
"ख ) विद्यार्थियों , मरीजों , सोशल सर्विसिज़ की सेवाएं प्राप्त करने वालों तथा नौकरी ढँुढने वालों के लिए विशैष यातायात ।","ख) विद्यार्थियों, रोगियों, सामाजिक सेवाओं के ग्राहकों और नौकरी करने वालों के लिए विशिष्ट परिवहन
",1
"Proszę wpisać nazwę konta, do którego ma zostać dołączony ten klient.","कृपया उस खाते को दर्ज करें जिसे आप इस ग्राहक को संलग्न करना चाहते हैं।
",1
उत्तर में पहाड़ और दक्षिण में विशाल झील इसकी सुंदरता में चार चांद लगाते हैं।,"उत्तर में पहाड़ और दक्षिण में विशाल जलधारा इस स्थान की सुंदरता है
",1
अकबर के शासन काल से पहले न्यायिक प्रक्रिया पर भी पारंपरिक मुस्लिम विधि लागू की जाती थी .,"अकबर के शासनकाल से पहले पारंपरिक मुस्लिम कानून न्यायिक प्रक्रिया के मामलों में भी लागू किया गया था।
",1
उनकी सातवीं पीढी ब भी अपने अधिकारों के लिए संघर्षरत है।,"सातवीं पीढ़ी अभी भी अपने अधिकारों के लिए लड़ रही है।
",1
लेकिन कंपनी ने अपना ध्यान युद्ध की आवश्यकताओं की पूर्ति पर लगाया .,"लेकिन कंपनी ने युद्ध की जरूरतों को पूरा करने पर ध्यान केंद्रित किया।
",1
"मेरी सक्रिय भागीदारी के साथ, दुनिया के बेहतरीन सॉफ्टवेर लेखक","मेरी सक्रिय भागीदारी के साथ, दुनिया में अग्रणी सॉफ्टवेयर लेखक
",1
"उन देशों के लिए, जिनके पास पीने का साफ़ पानी नहीं है","उन देशों के लिए जिनके पास पीने के साफ पानी की सुविधा नहीं है
",1
वे खाने की मेज पर भी खामोश और उदास बैठे रहते जिससे कि इस परेशान मेहमान को और भी उलझन होती .,"वे शर्मिंदा मेहमान की परेशानी के लिए रात के खाने के माध्यम से चुप और चमक गए।
",1
"खैर , चौटाल परिवार के लिए यह कोई नई बात नहीं है.राजनीति तो हमेशा से उनके लिए पारिवारिक मामल ही रही है.है न ?","खैर, चौटाला के लिए राजनीति हमेशा पारिवारिक व्यवसाय रही है, क्या यह नहीं है?
",1
तो मुझे ये बार-बार आमदनी वाली बात ही बचपन में ही सीखने को मिल गयी ।,"इसलिए मुझे लगता है कि आवर्ती राजस्व मॉडल मुझे कम उम्र में सीखना शुरू हुआ।
",1
सुबा अरसे से संदेह के दायरे में हैं .,"सुब्बा लंबे समय तक एक बादल के नीचे रहा।
",1
आप के नजदीक के Inland Revenue के पूछताछ केंद्र से Inland Revenue के व्यावसायिक इश्तेहारों के विभाग में दूरभाष पुस्तिका से पता कर सकते है ।,"अपने निकटतम अंतर्देशीय राजस्व पूछताछ केंद्र के लिए, फ़ोन बुक के व्यवसाय संख्या अनुभाग में अंतर्देशीय राजस्व की तलाश करें।
",1
> पर आप खुद ही भारत आने की नहीं सोचेंगे .,"प्रश्न: लेकिन आप अपने दम पर भारत आने पर विचार नहीं करेंगे। ..
",1
"उस्मान रियाज: हाँ, यह पहला था. और फिर मैं ...","उस्मान रियाज: हां, वह पहले वाला था। और तब मैं -
",1
"“खोलें...” संवाद के लिए तयशुदा स्थान, तयशुदा मौजूदा निर्देशिका है.","""ओपन ..."" संवादों के लिए डिफ़ॉल्ट स्थान। डिफ़ॉल्ट वर्तमान निर्देशिका है।
",1
संसद से निवेदन किए जाने पर भी वह राज़्य सूची के किसी विषय पर विधान बना सकती है .,"संसद आमंत्रण द्वारा भी राज्य सूची में प्रवेश कर सकती है।
",1
ताजमहल में पाई जाने वाले सुलेखन फ्लोरिड थुलुठ लिपि के हैं।,"ताजमहल में पाई गई सुलेख found फ्लोरिड थुलॉड ’लिपि से संबंधित है।
",1
है कि लोगों को कि वे वैश्वीकरण चिंता बढ़ा रहा है।,"लोगों का मानना ​​है कि वे चिंता करते हैं कि वैश्वीकरण चरम पर जा रहा है।
",1
"बाद के दस वर्षों के अंदर अंदर यह 2,74,000 एकड़ हो गयी .","अगले दस वर्षों के भीतर यह 274,000 एकड़ में था।
",1
"यदि आप बच्चों और किशोरों से यह पूछें कि वे ड्रग्स का प्रयोग क्यों करते हैं , तो वे कहेंगे ः","यदि आप बच्चों और किशोरों से पूछते हैं कि वे ड्रग्स का उपयोग क्यों करते हैं, तो वे कहते हैं:
",1
"मैं अब विश्व बैंक के साथ परिसंपत्ति वसूली पर, एक पहल पर काम कर रही हूँ,","मैं विश्व बैंक के साथ मिलकर अब एक पहल पर काम कर रहा हूं।
",1
कुछ इसे आर्यों की पूर्ववर्ती शाखा कहते हैं तो कुछ इसे द्रविड़ ।,"उनमें से कुछ की राय है कि वे आर्यों के पूर्वज थे और अन्य कहते हैं कि वे द्रविड़ियन हैं।
",1
Google Chrome को Windows Vista या SP2 वाले Windows XP या इसके बाद के संस्करण की आवश्यकता है.,"Google Chrome को SP2 या उच्चतर के साथ Windows Vista या Windows XP की आवश्यकता होती है।
",1
" मिलाली ' पर आते ही वे नाचने , गाने , उछलने व कूदने लगे तथा जलयान के विभिन्न हिस्सों में दौड़ने चिल्लाने लगे .","मिलली पहुंचने पर वे बहुत उत्साहित थे और पूरे जहाज पर दौड़ने, कूदने और चिल्लाने लगे।
",1
गांधीनगर में ऐसी अनियमितताओं की सूची लंबी है .,"गांधीनगर की अलमारी ऐसे कंकालों से भरी हैं।
",1
१९६२ में चीन के साथ तथा १९४७ १९६५ १९७१ एवम् १९९९ में पाकिस्तान के साथ लड़ाइयाँ हो चुकी हैं।,"1962 में चीन के साथ और 1947, 1965, 1971 और 1999 में पाकिस्तान के साथ युद्ध हुए हैं।
",1
यह शब्द इसके सीरियाई समानांतर कुरियना का अर्थ लेता है जिसका अर्थ होता है ग्रंथों को पढ़ना ।,"इस शब्द का एक अन्य समान सीरियन अर्थ है खुरीन भी है जिसका अर्थ है कि किताबें पढ़ें।
",1
” मुझे तो कभी खास आनन्द आया नहीं …,"""मैं इसे बहुत मज़ेदार नहीं था।
",1
मार्च २००४ में यहां मुंबई ग्रैंड प्रिक्स एफ़ १ पावरबोट रेस की विश्व प्रतियोगिता का भाग आयोजित हुआ था।,"मार्च 2004 में, मुंबई ग्रांड प्रिक्स एफ 1 पॉवर बोट रेस विश्व प्रतियोगिता का हिस्सा यहां आयोजित किया गया था।
",1
उन्होंने सरकार से उनके पक्ष में बाजार में हस्तक्षेप करने और उनसे कुछ अनिवार्य खरीद करने का अनुरोध किया .,"उन्होंने सरकार से अपनी ओर से बाजार में हस्तक्षेप करने और उनसे कुछ अनिवार्य खरीदारी करने को कहा।
",1
"कोई एक व्यक्ति इसे समझ पाता है और वह भी ( केवल ) अंशमात्र , संपूर्ण नहीं .","कुछ एकल व्यक्ति केवल यही सीखते हैं और यहां तक ​​कि वह -LRB- केवल -RRB- एक भाग लेकिन संपूर्ण नहीं।
",1
"यदि कोई भुगतान की तारीख निर्धारित की जाती है, तो बैंक सीधे इस भुगतान रेखा का इलाज करेंगे","यदि कोई भुगतान तिथि निर्दिष्ट नहीं की जाती है, तो बैंक सीधे इस भुगतान लाइन का उपचार करेगा
",1
तो इस महिला में आती है और वह ऑपरेटिंग कमरे में ले जाई गयी.,"तो यह महिला अंदर आती है और उसे ऑपरेटिंग रूम में ले जाया जाता है।
",1
इस इलके में देश भर की कुल उपज का 25 फीसदी आलू पैदा होता है .,"इस क्षेत्र में देश के कुल आलू का 25 प्रतिशत से अधिक हिस्सा है।
",1
पूर्णिमा की रात थी । <s> लड़के ने अंग्रेज को अपनी पूरी कहानी सुना डाली ।,"एक पूर्णिमा थी, और लड़के ने अंग्रेज को अपने जीवन की कहानी सुनाई।
",1
धर्मों का कला के प्रति काफ़ी साफ़ नज़रिया है.,"अब धर्मों का कला के प्रति बहुत अधिक रवैया है।
",1
"दस दिन दूर थी ये साबित करने से कि जो उत्पाद उन्होंने बनाया है, वो","यह साबित करने से 10 दिन दूर कि उन्होंने जो उत्पाद बनाया था
",1
"और जब मैनें अपने विद्यार्थियों से पूछा, “किसका सबसे अच्छा है?”","और जब मैंने छात्रों को बैठाया, तो मैंने कहा, ""सबसे अच्छा कौन है?""
",1
इसी प्रयास में सितंबर 2000में चारमीनार हेरिटेज वाक आयोजित की गई .,"प्रयास के भाग के रूप में, चारमीनार हेरिटेज वॉक को सितंबर 2000 में रवाना किया गया था।
",1
उनके गलफड़ों में एल्यूमीनियम के यौगिक जमा हो जाने से उन्हें सांस लेने में भी तकलीफ होती है .,"यहां तक ​​कि सांस लेना भी एक समस्या बन जाती है क्योंकि एल्यूमीनियम के यौगिक उनके गलफड़ों में जमा हो जाते हैं।
",1
परब्रह्म असीम अनन्त और रूप-शरीर विहीन है।,"परब्रह्म पूर्ण, अनंत और रूप और शरीर के बिना है।
",1
अनुभाग-1 मधुमेह की जानकारी मानवजाति को अतीत काल से है .,"खंड -1 डायबिटीज मेलिटस आदिकाल से मानव जाति के लिए जाना जाता है।
",1
ताजमहल के फर्श/तल की योजना का मानचित्र,"ताजमहल के फर्श / आधार कार्यक्रम की तस्वीर
",1
"“ कोई बात नहीं , मेरे लिए एक मेमने का चित्र बना दो । ”","“इससे कोई फर्क नहीं पड़ता। <s> मुझे एक भेड़ ... ""
",1
भारत का संविधान भारत को एक सार्वभौमिक समाजवादी धर्मनिरपेक्ष लोकतान्त्रिक गणराज्य की उपाधि देता है।,"भारत का संविधान भारत को एक संप्रभु, समाजवादी, धर्मनिरपेक्ष, लोकतांत्रिक गणराज्य घोषित करता है।
",1
अधिक जानकारी के लिए,"यदि आपको अधिक जानकारी की आवश्यकता है तो अपने वार्ड नर्स से संपर्क करें जो मदद करने में सक्षम होगी।
",1
रंग-बिरंगी फुलझड़ियाँ आतिशबाज़ियाँ व अनारों के जलने का आनंद प्रत्येक आयु के लोग लेते हैं।,"सभी आयु वर्ग के लोग ज्वलंत-रंगीन स्पार्कलर, पटाखों और """" एएन्नर """" (स्पार्कलिंग फूल) के साथ खुश थे।
",1
अंधकार पर प्रकाश की विजय का यह पर्व समाज में उल्लास भाई-चारे व प्रेम का संदेश फैलाता है।,"अंधकार पर प्रकाश की जीत का त्योहार। यह त्योहार समाज में आनंद, सौहार्द और प्रेम का संदेश वितरित करता है।
",1
बल्लेबाजों की भूमिका रन बनने के साथ और ओवर पूरे होने के साथ बदलती रहती है।,"बल्लेबाज रन बनाते समय अपना पक्ष बदल लेता है या ओवर पूरा कर लेता है।
",1
ये परम बुद्धिमान कहे जाते हैं।,"वह एक बेहद बुद्धिमान व्यक्ति के रूप में जाने जाते थे।
",1
वह मुकदमों का निर्णय तभी कर सकता था जबकि प्रतिवादी आरोप को स्वीकार कर ले .,"इसके अलावा, वह ऊपर के मुकदमों का फैसला कर सकता है, जहां प्रतिवादी के पास प्रभार है।
",1
सच्ची कला नील में से आश्चर्यजनक काई की छड़ी के समान अपना रास्ता बनाती है . ”,"सच्ची कला नील के माध्यम से अपना रास्ता बनाती है जैसे मूसा की चमत्कारी छड़ी। ""
",1
%{SCHEME} लिंक्स प्रबंधित करने के लिए Google Chrome को एक बाहरी अनुप्रयोग आरंभ करने की आवश्यकता होती है. अनुरोध किया गया लिंक %{PROTOLINK} है.,"Google Chrome को $ 1% {SCHEME} लिंक को संभालने के लिए एक बाहरी एप्लिकेशन लॉन्च करना होगा। अनुरोधित लिंक $ 2% {PROTOLINK} है।
",1
क्योकि यहाँ बहुत सा औटिस्म जेनेटिक्स है,"क्योंकि यहां ऑटिज्म जेनेटिक्स की भरमार है।
",1
"और दुनिया में, हर २० मिनट में, एक नये व्यक्ति","और दुनिया भर में, हर 20 मिनट में, एक नया व्यक्ति
",1
"ध्यान दें: सभी कीबोर्ड शॉर्टकट की उपलब्धता सुनिश्चित करने के लिए, आप Chrome रिमोट डेस्कटॉप को ‘विंडो के रूप में खोलें' पर कॉन्फ़िगर कर सकते हैं.","नोट: यह सुनिश्चित करने के लिए कि सभी कीबोर्ड शॉर्टकट उपलब्ध हैं, आप क्रोम रिमोट डेस्कटॉप को 'विंडो के रूप में खोलें ’को कॉन्फ़िगर कर सकते हैं।
",1
उन्होंने उन्हीं लगों को अपमानित किया या पार्टी से निकाल जिन्होंने उनकी मदद की थी और उन्हें आगे बढया था .,"उनकी मदद करने वाले या उन्हें बढ़ावा देने वाले सभी लोगों का अपमान किया गया या उनके द्वारा पार्टी से बाहर कर दिया गया।
",1
पर्यटकों को सलाह दी जाती है कि वे एक वृत्त चित्र “ मैन इन सर्च आफ मैन ” अवश्य देखें .,"पर्यटकों को डॉक्यूमेंट्री फिल्म मैन इन सर्च ऑफ मैन देखने की सलाह दी जाती है
",1
4. सदन की विशेष शक्तियॉ मे आता हो,"4. सदन की विशेष शक्तियों के भीतर होना चाहिए
",1
कृपया आप के बच्चे की पाठशाला उसे सडक सुरक्षा के बारे में प्रशिक्षण देने तक न रुकीये ।,"कृपया अपने बच्चे को सड़क सुरक्षा सिखाने के लिए स्कूल की प्रतीक्षा न करें।
",1
प्राचीन समय में यह एक,"प्राचीन काल में, यह एक हुआ करता था
",1
संस्कृत हिन्द-यूरोपीय भाषा-परिवार की हिन्द-ईरानी शाखा की हिन्द-आर्य उपशाखा में शामिल है।,"संस्कृत परिवार इंडो-यूरोपीय भाषाओं के अंतर्गत आता है और इसे इंडो-ईरानी शाखा की इंडो-आर्य उप-शाखा के अंतर्गत वर्गीकृत किया जाता है।
",1
दिनांक प्रारूप जो कि टाइमस्टैंप के लिए प्रयोग किया गया है.,"वह दिनांक स्वरूप जिसका उपयोग टाइमस्टैम्प के लिए किया जाता है।
",1
इस विचित्र सम्भावना के सम्बन्ध में उसने सतर्कता से पूछताछ करनी आरम्भ की ।,"उन्होंने शानदार संभावना के बारे में सावधानीपूर्वक पूछताछ की।
",1
"बहुत अलग और विशिष्ट होते हैं, और यह कि मैने वाक्यांश को बहुत अच्छी तरह से सीखा था,","बहुत अलग और विशिष्ट हैं, और मैंने इसे बहुत अच्छी तरह से सीखा है,
",1
मां अपने बढ़ते हुए सदा-भूखे बच्चों के लिए ही अधिकाधिक मांस निगलती है .,"माँ अधिक से अधिक मांस निगलती है, केवल अपने कभी भूखे बढ़ते बच्चों को खिलाने के लिए।
",1
सर्कस के हाथी की औसत उम्र 35 वर्ष होती है .,"एक सर्कस हाथी की औसत आयु लगभग 35 वर्ष है।
",1
2 राज्य अपना पृथक संविधान नही रख सकते है केवल एक ही संविधान केन्द्र तथा राज्य दोनो पर लागू होता है,"राज्य स्वतंत्र रूप से अलग संविधान नहीं रख सकता है, केवल एक संविधान केंद्र और राज्य दोनों पर लागू होता है।
",1
"मैं सोचता था कि कुछ होगा भी तो दूसरी के साथ होगा , मेरे साथ नहीं ।","यह ऐसा कुछ था जो मैंने सोचा था कि केवल दूसरों के लिए ही हो सकता है, मेरे लिए कभी नहीं।
",1
श्रीमद्भगवद्‌गीता हिन्दू धर्म के पवित्रतम ग्रन्थों में से एक है।,"श्रीमद् भागवत गीता हिंदू धर्म के सबसे पवित्र ग्रंथों में से एक है।
",1
ये गवाही दे सकते हैं कि पाकिस्तानी लोग बहुत मेहनती होते हैं।,"इस बात की पुष्टि कर सकते हैं कि पाकिस्तान के लोग मेहनतकश आबादी हैं,
",1
"“ मैं संतुष्ट हूँ , ” उसने कहा , ' कि तुम मेरी लोमड़ी से सहमत हो । ”","""मुझे खुशी है,"" उन्होंने कहा, ""कि आप मेरी लोमड़ी से सहमत हैं। ""
",1
भूमि से लोग को विशेष मोह है.इसे बेचना तथा चुराना पाप समझा जाता है .,"लोग भूमि की पूजा करते हैं और इसे चोरी करना या इसे बेचना पाप माना जाता है।
",1
"आप को उन्हें सर्च इंजिन से हटाना होगा,","आपको उन्हें खोज इंजन से बाहर निकालने की आवश्यकता है,
",1
यहाँ बड़ी तादाद में सुंदरी पेड़ मिलते हैं जिनके नाम पर ही इन वनों का नाम सुंदरवन पड़ा है।,"यहाँ बहुत सारे वृक्ष हैं, इसलिए इस जगह को ""सुंदरबन"" नाम दिया गया है (सुंदर वन)
",1
